variant,env,trial,seed,final_cost,time_s,path_len
no_carm,3D Diagonal,7,49,2.1750808362369654,1.6397535800933838,7
no_carm,3D Diagonal,8,50,2.1713426647485283,0.6884644031524658,8
no_carm,3D Diagonal,9,51,2.1993735664968104,1.9641571044921875,8
no_carm,UR10_pick_place_drill,0,42,1.5165549761753347,1.5204367637634277,3
no_carm,UR10_pick_place_drill,1,43,1.542278770895497,1.6988658905029297,3
no_carm,UR10_pick_place_drill,2,44,1.3891598051507863,1.5088272094726562,3
no_carm,UR10_pick_place_drill,3,45,1.56378761991593,1.4493131637573242,3
no_carm,UR10_pick_place_drill,4,46,1.424250094529566,1.47446608543396,3
no_carm,UR10_pick_place_drill,5,47,1.536619229925984,1.241884708404541,3
no_carm,UR10_pick_place_drill,6,48,1.5564926121751035,1.7979390621185303,3
no_carm,UR10_pick_place_drill,7,49,1.3564641710861736,1.5300884246826172,3
no_carm,UR10_pick_place_drill,8,50,1.365778389366332,1.2587776184082031,3
no_carm,UR10_pick_place_drill,9,51,1.5927090805538082,1.4782114028930664,3
no_carm,Tiago 14D simple,0,42,8.589137924152109,27.984641075134277,3
no_carm,Tiago 14D simple,1,43,8.650503137321888,29.02313804626465,3
no_carm,Tiago 14D simple,2,44,8.585369387769024,31.022939443588257,3
no_carm,Tiago 14D simple,3,45,8.586912851818258,45.557929039001465,3
no_carm,Tiago 14D simple,4,46,8.579332671496243,32.80689859390259,3
no_carm,Tiago 14D simple,5,47,8.592694490593207,29.248834133148193,3
no_carm,Tiago 14D simple,6,48,8.607538157118405,29.35898208618164,3
no_carm,Tiago 14D simple,7,49,8.581101130627546,29.638217449188232,3
no_carm,Tiago 14D simple,8,50,8.603291962723507,30.115235328674316,3
no_carm,Tiago 14D simple,9,51,8.57830913727243,55.81099534034729,3
no_smoothing,2D Random World,0,42,1.0509349760816387,0.9630460739135742,15
no_smoothing,2D Random World,1,43,1.0516464153141676,0.9289994239807129,16
no_smoothing,2D Random World,2,44,1.0516335717319942,1.0384893417358398,24
no_smoothing,2D Random World,3,45,1.084550099580771,0.8848409652709961,20
no_smoothing,2D Random World,4,46,1.0753777589388704,0.7681877613067627,14
no_smoothing,2D Random World,5,47,1.0742991463272789,1.3184568881988525,34
no_smoothing,2D Random World,6,48,1.0830217284086756,0.8898704051971436,19
no_smoothing,2D Random World,7,49,1.070896640194759,1.1252124309539795,23
no_smoothing,2D Random World,8,50,1.0807883817833601,1.1721279621124268,21
no_smoothing,2D Random World,9,51,1.0706003952618104,3.1498589515686035,37
no_smoothing,3D Diagonal,0,42,2.3973890895634336,9.938629388809204,24
no_smoothing,3D Diagonal,1,43,2.483652189935527,7.577044486999512,25
no_smoothing,3D Diagonal,2,44,2.499908845146639,11.74751591682434,24
no_smoothing,3D Diagonal,3,45,2.4314315970206866,17.62268829345703,27
no_smoothing,3D Diagonal,4,46,2.4101418842127513,10.464098453521729,23
no_smoothing,3D Diagonal,5,47,2.4318664575277595,12.160187005996704,26
no_smoothing,3D Diagonal,6,48,2.462015438610441,10.108218669891357,25
no_smoothing,3D Diagonal,7,49,2.4154298983830564,17.515562057495117,28
no_smoothing,3D Diagonal,8,50,2.397304323473782,4.091697692871094,11
no_smoothing,3D Diagonal,9,51,2.454570751134427,11.68068265914917,26
no_smoothing,UR10_pick_place_drill,0,42,1.6052494143638074,10.609540939331055,3
no_smoothing,UR10_pick_place_drill,1,43,1.5389086923890507,15.57264256477356,3
no_smoothing,UR10_pick_place_drill,2,44,1.5590175237872121,15.466720819473267,3
no_smoothing,UR10_pick_place_drill,3,45,1.5363809562175983,15.501993656158447,3
no_smoothing,UR10_pick_place_drill,4,46,1.4246379779528962,15.464240074157715,3
no_smoothing,UR10_pick_place_drill,5,47,1.5373561115877568,10.670455932617188,3
no_smoothing,UR10_pick_place_drill,6,48,1.4931118527548781,15.856723070144653,3
no_smoothing,UR10_pick_place_drill,7,49,1.614897644994277,15.769418001174927,3
no_smoothing,UR10_pick_place_drill,8,50,1.4695693137118733,10.238658905029297,3
no_smoothing,UR10_pick_place_drill,9,51,1.593531226634398,14.796321630477905,3
